station_id,station_name,station_latitude,station_longitude
406,Parkmoor Ave at Race St,37.316736,-121.910005
197,El Embarcadero at Grand Ave,37.808848,-122.24968
39,Scott St at Golden Gate Ave,37.778999,-122.436861
225,23rd Ave at Foothill Blvd,37.785191,-122.234382
124,19th St at Florida St,37.760447,-122.410807
118,Eureka Valley Recreation Center,37.759177,-122.436943
359,Williams Ave at Apollo St,37.730168,-122.398963
289,5th St at Taylor St,37.365986,-121.916677
394,10th St at Empire St,37.349426,-121.887619
140,Cesar Chavez St at Dolores St,37.747858,-122.424986
257,Fifth St at Delaware St,37.870407,-122.299676
221,6th Ave at E 12th St (Temporary Location),37.794396,-122.253842
175,49th St at Telegraph Ave,37.835946,-122.262366
162,Franklin St at 9th St,37.800516,-122.27208
84,Duboce Park,37.769201,-122.433812
323,Broadway at Kearny St,37.437506,-122.000513
317,San Salvador St at 9th St,37.333955,-121.877349
358,Williams Ave at 3rd St,37.729279,-122.392896
218,DeFremery Park,37.812331,-122.285171
213,32nd St at Adeline St,37.823847,-122.281193
47,Clara St at 4th St,37.476038,-122.052552
34,Father Alfred E Boeddeker Park,37.783988,-122.412408
389,Taylor St at 9th St,37.353062,-121.891937
283,Delmas Ave and San Fernando St,37.330264,-121.897702
297,Locust St at Grant St,37.32298,-121.887931
189,Genoa St at 55th St,37.839649,-122.271756
226,26th Ave at International Blvd,37.781123,-122.232992
431,Judson Ave at Gennessee St,37.728282,-122.450695
306,Saint James Park,37.339301,-121.889937
424,Greenwich St at Webster St,37.799208,-122.434122
281,9th St at San Fernando St,37.338395,-121.880797
402,Raymond Bernal Jr Memorial Park (8th St at Hedding St),37.356834,-121.895936
227,Foothill Blvd at Fruitvale Ave,37.783757,-122.222603
423,South San Jose State (7th St at Humboldt St),37.320316,-121.870099
417,Park Ave at Race St,37.326011,-121.912327
219,Marston Campbell Park,37.809824,-122.280192
294,Pierce Ave at Market St,37.327581,-121.884559
229,Bond St at High St,37.775506,-122.212947
327,5th St at San Salvador St,37.332039,-121.881766
360,Newhall St at 3rd St,37.738572,-122.389618
413,Balboa Park BART Station,37.720555,-122.447723
433,Gennessee St at Monterey Blvd,37.731657,-122.451122
263,Channing Way at San Pablo Ave,37.862827,-122.290231
208,4th St at San Carlos St,37.3328,-121.88385
222,10th Ave at E 15th St,37.792714,-122.24878
262,West St at University Ave,37.869967,-122.286533
214,Market St at Brockhurst St,37.823321,-122.275733
425,Bird Ave at Willow St,37.311284,-121.896325
299,Bestor Art Park,37.323678,-121.874119
46,San Antonio Park,37.79014,-122.242373
249,Russell St at College Ave,37.858473,-122.253253
295,William St at 10th St,37.332794,-121.875926
51,Parker Ave at McAllister St,37.776101,-122.453093
315,Market St at 45th St,37.834174,-122.272968
138,Jersey St at Church St,37.7509,-122.427411
205,Miles Ave at Cavour St,37.8388,-122.258732
387,Randall St at Chenery St,37.739813,-122.425523
216,San Pablo Ave at 27th St,37.817827,-122.275698
300,Palm St at Willow St,37.317298,-121.884995
188,Dover St at 57th St,37.842629,-122.267738
403,10th St at Mission St,37.355693,-121.892251
164,Isabella St at San Pablo Ave,37.814988,-122.274844
142,Guerrero Park,37.745739,-122.42214
352,Goettingen St at Bacon St,37.726943,-122.4066
275,Julian St at 6th St,37.342997,-121.888889
191,Market St at 40th St,37.830545,-122.273937
303,San Pedro St at Hedding St,37.352601,-121.905733
418,17th St at Santa Clara St,37.343985,-121.874385
516,Clement St at 32nd Ave,37.394398,-121.955527
393,Asbury St at The Alameda,37.338143,-121.919768
422,Stockton Ave at Lenzen Ave,37.336775,-121.909149
228,Foothill Blvd at Harrington Ave,37.77993,-122.217728
395,Kerley Dr at Rosemary St,37.360854,-121.906834
392,Sonora Ave at 1st St,37.36406,-121.911732
301,Willow St at Vine St,37.31845,-121.883172
391,1st St at Younger Ave,37.35503,-121.904436
407,Bird Ave at Coe Ave,37.315158,-121.897833
224,21st St at 5th Ave,37.797136,-122.245722
427,Auzerais Ave at Lincoln Ave,37.320969,-121.908296
298,Oak St at 1st St,37.322125,-121.88109
421,23rd St at Taylor St,37.360001,-121.878778
428,Howard workshop - Station in a Box,37.774661,-122.416308
277,W Julian St at N Morrison St,37.358856,-121.926642
65,Emeryville Depot,37.830296,-122.28943
453,Brannan St at 4th St,37.777934,-122.396973
321,Folsom St at 5th St,37.766669,-122.386481
467,Brannan St at Colin P Kelly Jr St,37.782386,-122.391343
446,Mint St at Mission St,37.78228,-122.407313
12,Pier 1/2 at The Embarcadero,37.796389,-122.394586
454,7th Ave at Cabrillo St,37.775176,-122.465007
465,San Francisco Caltrain Station (King St at 4th St),37.776329,-122.394438
456,Arguello Blvd at Geary Blvd,37.781468,-122.458806
462,Cruise Terminal at Pier 27,37.804303,-122.401726
475,22nd St at William St,37.340379,-121.864021
37,Folsom St at 2nd St,37.778261,-122.388812
459,Utah St at 24th St,37.753123,-122.405393
441,Chestnut St at Van Ness Ave,37.802288,-122.424509
468,Grove St at Gough St,37.77787,-122.422953
442,Newbury Park Dr at King Rd,37.365536,-121.867966
439,Post St at Divisadero St,37.784372,-122.439478
461,Terry Francois Blvd at Mission Bay Blvd N,37.77133,-122.386622
460,Terry Francois Blvd at Warriors Way,37.769095,-122.386333
38,The Embarcadero at Pier 38,37.782926,-122.387921
445,Natoma St at New Montgomery St,37.786553,-122.399607
316,1st St at San Carlos St,37.361344,-121.921653
482,Brannan St at 7th St,37.772658,-122.403681
432,Quesada Ave at 3rd St,37.733093,-122.390973
474,14th Ave at Geary Blvd,37.780471,-122.472823
455,McAllister St at Arguello Blvd,37.775214,-122.458334
434,Carroll Ave at 3rd St,37.725375,-122.39402
466,5th Ave at Anza St,37.779488,-122.463142
438,Oakdale Ave at Phelps St,37.736852,-122.394251
472,Columbia Ave at Bird Ave,37.324126,-121.89972
470,N 14th St at E Santa Clara St,37.342663,-121.877292
469,Ellis St at Pierce St,37.781982,-122.43577
436,McKinnon Ave at 3rd St,37.736296,-122.38997
437,Evans Ave at Mendell St,37.740178,-122.383736
435,Jennings St at Revere Ave,37.729393,-122.386537
471,Turk Blvd at Stanyan St,37.777609,-122.454622
473,Willow St at Blewett Ave,37.309014,-121.900011
476,19th St at William St,37.338468,-121.866521
463,Heron's Head Park,37.740322,-122.376784
429,Prototype Lab,37.720035,-122.495241
408,MTL-ECO5-01,37.718237,-122.38808
510,Post St at Webster St,37.785394,-122.431821
487,Powell St at Columbus Ave,37.800496,-122.410887
480,Steiner St at California St,37.788569,-122.435401
450,Funston Ave at Irving St,37.763934,-122.470651
500,Battery St at Filbert St,37.802198,-122.401772
458,Frederick St at Arguello Blvd,37.765783,-122.457637
493,Folsom St at 7th St,37.776664,-122.407908
489,Funston Ave at Clement St,37.782498,-122.471968
513,Alameda St at Henry Adams St,37.768546,-122.404403
483,7th St at King St,37.771229,-122.400886
486,Arguello Blvd at Edward St,37.778487,-122.458645
457,7th Ave at Irving St,37.763434,-122.464063
477,17th Ave at Geary Blvd,37.78072,-122.476104
492,Webster St at Clay St,37.790803,-122.43259
514,Laurel St at California St,37.786692,-122.450081
506,7th Ave at Clement St,37.782439,-122.465377
512,Divisadero St at Clay St,37.789688,-122.440688
485,Funston Ave at Fulton St,37.773263,-122.47123
511,Anza St at Collins St,37.78068,-122.450012
481,O'Farrell St at Masonic Ave,37.781131,-122.447374
517,Spruce St at California St,37.786578,-122.453423
490,9th Ave at Geary Blvd,37.781841,-122.467636
488,Egbert Ave at Jennings St,37.72263,-122.392496
499,Otis St at Brady St,37.772303,-122.419796
498,Frida Kahlo Way at Cloud Cir,37.72589,-122.452444
495,St James St at 9th St,37.343208,-121.88439
508,St. Joseph's Ave at Geary Blvd,37.782476,-122.442534
515,18th Ave at California St,37.785111,-122.477667
451,10th Ave at Irving St,37.764091,-122.467378
478,Greenwich St at Franklin St,37.800254,-122.425919
491,Devine St at San Pedro St,37.338671,-121.895644
444,Mercado Way at Sierra Rd,37.371116,-121.881332
494,Park Ave at Laurel Grove Ln,37.326282,-121.904911
509,Evans Ave at Newhall St,37.742232,-122.386843
344,16th St Depot,37.766349,-122.396292
329,San Jose Depot,37.344018,-121.915063
367,Outside Lands (Temporary Station),37.771104,-122.473658
